uid,domain,rubric_source,n_criteria,n_claims,n_core_claims,n_subquestions,claim_recall,claim_recall_core,grounded_fraction,generic_fraction,unsupported_fraction,subquestion_coverage,mean_criteria_per_claim,n_uncovered_claims,n_criteria_labelled,uncovered_claim_ids,unsupported_criteria,error,_family,n_items,n_responses_scored,n_judge_errors,variants_scored,response_set_fingerprint,score__gold,score__terse_correct,score__missing_step,score__numeric_error,score__right_method_wrong_answer,score__verbose_empty,score__off_topic,margin__terse_correct,margin__missing_step,margin__numeric_error,margin__right_method_wrong_answer,margin__verbose_empty,margin__off_topic,mean_margin,min_margin,rank_acc,rank_credit,n_rank_pairs,n_rank_ties,rank_tie_rate,auc_good_vs_bad,n_auc_pairs_good_vs_bad,auc_credit_good_vs_bad,auc_gold_vs_degraded,n_auc_pairs_gold_vs_degraded,auc_credit_gold_vs_degraded,score_mean,score_std,score_range,hack_verbose,hack_verbose_margin,hack_confident_wrong,hack_confident_wrong_margin,n_degraded,n_saturated,saturation_rate,score_numeric__gold,score_numeric__terse_correct,score_numeric__missing_step,score_numeric__numeric_error,score_numeric__right_method_wrong_answer,score_numeric__verbose_empty,score_numeric__off_topic,margin__terse_correct__numeric,margin__missing_step__numeric,margin__numeric_error__numeric,margin__right_method_wrong_answer__numeric,margin__verbose_empty__numeric,margin__off_topic__numeric,mean_margin__numeric,min_margin__numeric,rank_acc__numeric,rank_credit__numeric,n_rank_pairs__numeric,n_rank_ties__numeric,rank_tie_rate__numeric,auc_good_vs_bad__numeric,n_auc_pairs_good_vs_bad__numeric,auc_credit_good_vs_bad__numeric,auc_gold_vs_degraded__numeric,n_auc_pairs_gold_vs_degraded__numeric,auc_credit_gold_vs_degraded__numeric,score_mean__numeric,score_std__numeric,score_range__numeric,hack_verbose__numeric,hack_verbose_margin__numeric,hack_confident_wrong__numeric,hack_confident_wrong_margin__numeric,n_degraded__numeric,n_saturated__numeric,saturation_rate__numeric,score_unweighted__gold,score_unweighted__terse_correct,score_unweighted__missing_step,score_unweighted__numeric_error,score_unweighted__right_method_wrong_answer,score_unweighted__verbose_empty,score_unweighted__off_topic,margin__terse_correct__unweighted,margin__missing_step__unweighted,margin__numeric_error__unweighted,margin__right_method_wrong_answer__unweighted,margin__verbose_empty__unweighted,margin__off_topic__unweighted,mean_margin__unweighted,min_margin__unweighted,rank_acc__unweighted,rank_credit__unweighted,n_rank_pairs__unweighted,n_rank_ties__unweighted,rank_tie_rate__unweighted,auc_good_vs_bad__unweighted,n_auc_pairs_good_vs_bad__unweighted,auc_credit_good_vs_bad__unweighted,auc_gold_vs_degraded__unweighted,n_auc_pairs_gold_vs_degraded__unweighted,auc_credit_gold_vs_degraded__unweighted,score_mean__unweighted,score_std__unweighted,score_range__unweighted,hack_verbose__unweighted,hack_verbose_margin__unweighted,hack_confident_wrong__unweighted,hack_confident_wrong_margin__unweighted,n_degraded__unweighted,n_saturated__unweighted,saturation_rate__unweighted,n_question_anchors,question_words,reference_words,generic_criterion_rate,generic_rate_permuted,specificity_lift,weight_mass_on_generic_raw,weight_mass_on_generic_paper,mean_anchors_per_criterion,weak_grounding_rate,recyclable_rate,mass_produced_title_rate,max_title_reuse,title_reuse_ge2_rate,subjective_rate,style_rate,subjective_or_style_rate,generic_and_subjective_rate,weight_mass_on_subjective,weight_mass_on_subjective_paper,mean_trigram_overlap_with_reference,criteria_with_ge50pct_trigram_overlap,criteria_with_ge30pct_trigram_overlap,mean_4gram_overlap_with_question,n_generic,n_criteria_scored
sci-3790fc571481,rar_science,agentic,7.0,3.0,3.0,3.0,1.0,1.0,0.14285714285714285,0.0,0.8571428571428571,1.0,2.6666666666666665,0.0,7.0,[],"[{'criterion_index': 1, 'title': 'Particulate inheritance mechanism'}, {'criterion_index': 2, 'title': 'Variation preservation explained'}, {'criterion_index': 3, 'title': 'Swamping dilution rate correct'}, {'criterion_index': 4, 'title': 'Survival of the fittest clarified'}, {'criterion_index': 5, 'title': 'Pangenesis superseded'}, {'criterion_index': 6, 'title': 'Continuous vs discrete variation'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-3790fc571481,rar_science,agentic-noval,7.0,3.0,3.0,3.0,1.0,1.0,0.14285714285714285,0.0,0.8571428571428571,1.0,1.3333333333333333,0.0,7.0,[],"[{'criterion_index': 1, 'title': 'Blending inheritance gap'}, {'criterion_index': 2, 'title': 'Particulate inheritance contrast'}, {'criterion_index': 3, 'title': 'Genotype-phenotype distinction'}, {'criterion_index': 4, 'title': 'Fitness redefined'}, {'criterion_index': 5, 'title': 'Natural selection preserved'}, {'criterion_index': 6, 'title': 'Changes enumerated'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-56f1abe10722,rar_science,shipped,6.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.2,0.0,6.0,[],"[{'criterion_index': 0, 'title': 'Coarse Graining Concept'}, {'criterion_index': 1, 'title': 'Beta Functions Role'}, {'criterion_index': 2, 'title': 'Fixed Points Explanation'}, {'criterion_index': 3, 'title': 'Anomalous Dimensions Insight'}, {'criterion_index': 4, 'title': 'ERG Framework Detail'}, {'criterion_index': 5, 'title': 'Scale Dependence Comparison'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-56f1abe10722,rar_science,baseline,6.0,5.0,5.0,3.0,0.8,0.8,0.0,0.0,1.0,1.0,1.25,1.0,6.0,[4],"[{'criterion_index': 0, 'title': 'Stat Mech Coarse Graining'}, {'criterion_index': 1, 'title': 'QFT Coarse Graining'}, {'criterion_index': 2, 'title': 'Similarities Identified'}, {'criterion_index': 3, 'title': 'Beta Functions Defined'}, {'criterion_index': 4, 'title': 'Fixed Points Explained'}, {'criterion_index': 5, 'title': 'ERG Framework Mechanism'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-56f1abe10722,rar_science,agentic,6.0,5.0,5.0,3.0,0.2,0.2,0.0,0.0,1.0,0.6666666666666666,3.0,4.0,6.0,"[2, 3, 4, 5]","[{'criterion_index': 0, 'title': 'RG time convention'}, {'criterion_index': 1, 'title': 'Eigenvalue sign convention'}, {'criterion_index': 2, 'title': 'ERG flow equation'}, {'criterion_index': 3, 'title': 'ERG regulator and interpolation'}, {'criterion_index': 4, 'title': 'ERG regulator explained'}, {'criterion_index': 5, 'title': 'RG time convention specified'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-56f1abe10722,rar_science,agentic-noval,6.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6,0.0,6.0,[],"[{'criterion_index': 0, 'title': 'SM coarse graining'}, {'criterion_index': 1, 'title': 'QFT coarse graining'}, {'criterion_index': 2, 'title': 'Beta function defined'}, {'criterion_index': 3, 'title': 'Fixed points defined'}, {'criterion_index': 4, 'title': 'Anomalous dimension QFT'}, {'criterion_index': 5, 'title': 'ERG flow equation'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-0285c4aecb7a,rar_science,shipped,6.0,4.0,4.0,3.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.5,1.0,1.0,0.0,6.0,[],"[{'criterion_index': 1, 'title': 'Operator Action Reasoning'}, {'criterion_index': 3, 'title': 'Linearity Implications'}, {'criterion_index': 5, 'title': 'Complex Conjugation Role'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-0285c4aecb7a,rar_science,baseline,6.0,4.0,4.0,3.0,1.0,1.0,0.16666666666666666,0.0,0.8333333333333334,1.0,1.25,0.0,6.0,[],"[{'criterion_index': 1, 'title': 'Operator Action'}, {'criterion_index': 2, 'title': 'Hermitian Operators'}, {'criterion_index': 3, 'title': 'Conjugate Role'}, {'criterion_index': 4, 'title': 'Linearity Principle'}, {'criterion_index': 5, 'title': 'Postulate Adherence'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-0285c4aecb7a,rar_science,agentic,6.0,4.0,4.0,3.0,0.5,0.5,0.8333333333333334,0.0,0.16666666666666666,1.0,3.5,2.0,6.0,"[3, 4]","[{'criterion_index': 2, 'title': 'Avoid reality without Hermiticity'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-0285c4aecb7a,rar_science,agentic-noval,6.0,4.0,4.0,3.0,1.0,1.0,0.16666666666666666,0.0,0.8333333333333334,1.0,1.75,0.0,6.0,[],"[{'criterion_index': 1, 'title': 'Dirac notation form'}, {'criterion_index': 2, 'title': 'Phase information in ψ'}, {'criterion_index': 3, 'title': 'Eigenbasis expansion'}, {'criterion_index': 4, 'title': 'Born rule in derivation'}, {'criterion_index': 5, 'title': 'Linearity property stated'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-a951f8c8c6bb,rar_science,shipped,7.0,8.0,7.0,0.0,1.0,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,,1.625,0.0,7.0,[],"[{'criterion_index': 4, 'title': 'Detail on Acid Strength'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-a951f8c8c6bb,rar_science,baseline,7.0,8.0,7.0,0.0,1.0,1.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,,1.5,0.0,7.0,[],"[{'criterion_index': 3, 'title': 'H3PO4 basicity analysis'}, {'criterion_index': 4, 'title': 'Structural distinction'}, {'criterion_index': 6, 'title': 'Assuming all H+ acidic'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-a951f8c8c6bb,rar_science,agentic,7.0,8.0,7.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.14285714285714285,,1.25,0.0,7.0,[],"[{'criterion_index': 6, 'title': 'P-H non-ionizable in Na2HPO3'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-a951f8c8c6bb,rar_science,agentic-noval,7.0,8.0,7.0,0.0,1.0,1.0,0.7142857142857143,0.0,0.2857142857142857,,1.125,0.0,7.0,[],"[{'criterion_index': 2, 'title': 'Na2HPO3 is normal salt'}, {'criterion_index': 6, 'title': 'P-H bonds non-ionizable'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-63ae3ace661f,rar_science,shipped,8.0,3.0,3.0,3.0,1.0,1.0,0.375,0.125,0.5,1.0,2.3333333333333335,0.0,8.0,[],"[{'criterion_index': 0, 'title': 'Directing Effects Explanation'}, {'criterion_index': 2, 'title': 'Example Inclusion'}, {'criterion_index': 3, 'title': 'Mechanistic Reasoning'}, {'criterion_index': 4, 'title': 'Aromatic Substitution Context'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-63ae3ace661f,rar_science,baseline,8.0,3.0,3.0,3.0,1.0,1.0,0.25,0.0,0.75,1.0,1.0,0.0,8.0,[],"[{'criterion_index': 1, 'title': 'Sigma Complex Stabilization'}, {'criterion_index': 2, 'title': 'Meta Attack Destabilization'}, {'criterion_index': 3, 'title': 'Comparison with OH'}, {'criterion_index': 5, 'title': 'NO2 Deactivation Mechanism'}, {'criterion_index': 6, 'title': 'Reaction Examples'}, {'criterion_index': 7, 'title': 'Activation vs Deactivation'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-63ae3ace661f,rar_science,agentic,8.0,3.0,3.0,3.0,1.0,1.0,0.5,0.0,0.5,0.6666666666666666,2.0,0.0,8.0,[],"[{'criterion_index': 3, 'title': '+M resonance mechanism'}, {'criterion_index': 4, 'title': 'Sigma complex o/p stabilization'}, {'criterion_index': 5, 'title': 'Meta lacks iminium contributor'}, {'criterion_index': 6, 'title': 'Electron density at o/p'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-63ae3ace661f,rar_science,agentic-noval,8.0,3.0,3.0,3.0,1.0,1.0,0.25,0.0,0.75,0.6666666666666666,1.0,0.0,8.0,[],"[{'criterion_index': 0, 'title': 'NH2 ortho/para director'}, {'criterion_index': 3, 'title': 'NH2 +M mechanism'}, {'criterion_index': 4, 'title': 'Iminium resonance contributor'}, {'criterion_index': 5, 'title': 'Meta sigma complex limits'}, {'criterion_index': 6, 'title': 'NH2 stronger than OH'}, {'criterion_index': 7, 'title': 'NO2 deactivation mechanism'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-88a263c8039c,rar_science,shipped,8.0,4.0,4.0,3.0,1.0,1.0,0.375,0.25,0.375,1.0,1.5,0.0,8.0,[],"[{'criterion_index': 1, 'title': 'Application Strategy'}, {'criterion_index': 2, 'title': 'Resource List Detailing'}, {'criterion_index': 4, 'title': 'Scientific Justification'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-88a263c8039c,rar_science,baseline,8.0,4.0,4.0,3.0,1.0,1.0,0.125,0.0,0.875,1.0,1.5,0.0,8.0,[],"[{'criterion_index': 0, 'title': 'Structured Study Plan'}, {'criterion_index': 2, 'title': 'Diffusion Focus'}, {'criterion_index': 3, 'title': 'Phase Transition Focus'}, {'criterion_index': 4, 'title': 'Application Strategy'}, {'criterion_index': 5, 'title': 'Progressive Textbook Selection'}, {'criterion_index': 6, 'title': 'Crystal Diffusion Theories'}, {'criterion_index': 7, 'title': 'Phase Transition Theories'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sci-88a263c8039c,rar_science,agentic,8.0,4.0,4.0,3.0,1.0,1.0,0.25,0.0,0.75,1.0,1.5,0.0,8.0,[],"[{'criterion_index': 2, 'title': 'Plan progression'}, {'criterion_index': 3, 'title': 'Tailored to research'}, {'criterion_index': 4, 'title': 'Diffusion stat mech'}, {'criterion_index': 5, 'title': 'Phase transitions noneq'}, {'criterion_index': 6, 'title': 'Crystal lattice transport'}, {'criterion_index': 7, 'title': 'Sequential plan'}]",,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
