qid,n_items,pitfall_mirror_max,n_pitfall_mirrors,max_cos,mean_cos,max_jaccard,mean_jaccard,max_cos_same_marks,n_pairs,n_pairs_ge_0.5,n_pairs_ge_0.7,n_true_pairs_ge_0.5,n_true_pairs_ge_0.7
rar_medicine:63,8,0.32090136408805847,0,0.7264997363090515,0.1436377316713333,0.3076923076923077,0.048158537890680746,0.0719127357006073,28,1,1,0,0
rar_medicine:67,10,0.5355838537216187,0,0.5277634859085083,0.11284620314836502,0.21428571428571427,0.05081162664495998,0.11107714474201202,45,1,0,0,0
rar_medicine:72,8,0.15554338693618774,0,0.43857863545417786,0.06587211787700653,0.16666666666666666,0.0216774260311412,0.0,28,0,0,0,0
rar_medicine:73,9,0.11552289873361588,0,0.22449998557567596,0.06026846915483475,0.13333333333333333,0.019298802141939395,0.0,36,0,0,0,0
rar_medicine:74,8,0.18220382928848267,0,0.3277570605278015,0.06688789278268814,0.17647058823529413,0.028697729091636655,0.0,28,0,0,0,0
rar_medicine:77,9,0.6954419016838074,0,0.6576342582702637,0.1565970629453659,0.4444444444444444,0.056193690568690564,0.0,36,3,0,0,0
rar_medicine:79,12,0.0,0,0.44034743309020996,0.05010915547609329,0.2727272727272727,0.018671847096999143,0.0,66,0,0,0,0
rar_medicine:84,8,0.23587259650230408,0,0.395175039768219,0.07836846262216568,0.2,0.030632260878833188,0.0,28,0,0,0,0
rar_medicine:86,9,0.15787535905838013,0,0.23168176412582397,0.042360834777355194,0.1111111111111111,0.02021091553834857,0.0,36,0,0,0,0
rar_medicine:87,9,0.7746074199676514,0,0.7447625398635864,0.280042439699173,0.5833333333333334,0.15630507263634202,0.0,36,5,1,0,0
rar_medicine:88,7,0.2802920639514923,0,0.648423433303833,0.24334204196929932,0.2857142857142857,0.0819862210618513,0.0,21,3,0,0,0
rar_medicine:92,9,0.6068477034568787,0,0.5904640555381775,0.17328771948814392,0.21428571428571427,0.055485158474709556,0.0,36,2,0,0,0
rar_medicine:96,9,0.4859887957572937,0,0.60646653175354,0.14665144681930542,0.3,0.05278853091353092,0.0,36,1,0,0,0
rar_medicine:103,10,0.009462288580834866,0,0.6538131833076477,0.12786592543125153,0.2,0.03791148938207762,0.6538131833076477,45,1,0,1,0
rar_medicine:105,10,0.6109274625778198,0,0.6881796717643738,0.14620214700698853,0.29411764705882354,0.05331917127324764,0.0,45,4,0,0,0
rar_medicine:106,11,0.35219666361808777,0,0.39022737741470337,0.10144758224487305,0.23529411764705882,0.026042403518890013,0.0,55,0,0,0,0
rar_medicine:108,8,0.49212929606437683,0,0.4680856764316559,0.20721325278282166,0.25,0.08124146941318547,0.4366190731525421,28,0,0,0,0
rar_medicine:117,8,0.371406227350235,0,0.3640266954898834,0.09364906698465347,0.2222222222222222,0.04146116780045351,0.0,28,0,0,0,0
rar_medicine:119,9,0.27858829498291016,0,0.5061197280883789,0.14805062115192413,0.25,0.06445174001933549,0.0,36,1,0,0,0
rar_medicine:120,9,0.42473334074020386,0,0.7065122723579407,0.13279712200164795,0.46153846153846156,0.05662401431557778,0.0,36,1,1,0,0
rar_medicine:124,10,0.27398642897605896,0,0.30601954460144043,0.08999053388834,0.3,0.0514004514004514,0.0,45,0,0,0,0
rar_medicine:126,9,0.3043275773525238,0,0.4129456877708435,0.0829910859465599,0.2727272727272727,0.02672188922188922,0.0,36,0,0,0,0
rar_medicine:130,10,0.3693305552005768,0,0.8403530716896057,0.10110998898744583,0.5,0.04281409948076615,0.0,45,1,1,0,0
rar_medicine:131,9,0.5211951732635498,0,0.6809985041618347,0.1953478455543518,0.46153846153846156,0.097179529348647,0.0,36,2,0,0,0
rar_medicine:132,8,0.23672813177108765,0,0.6451343297958374,0.1320677548646927,0.3333333333333333,0.04732336116264689,0.0,28,1,0,0,0
rar_medicine:133,12,0.37243688106536865,0,0.6670404076576233,0.12022024393081665,0.4166666666666667,0.048859269815152165,0.0,66,2,0,0,0
rar_medicine:134,13,0.3336692452430725,0,0.4232754707336426,0.056151945143938065,0.2,0.022468094583479196,0.2387298047542572,78,0,0,0,0
rar_medicine:137,9,0.5653398633003235,0,0.7125793695449829,0.22693079710006714,0.38461538461538464,0.10238138314118704,0.0,36,4,1,0,0
rar_medicine:139,9,0.4859396815299988,0,0.5981784462928772,0.1633996069431305,0.26666666666666666,0.052597518222518215,0.0,36,2,0,0,0
rar_medicine:141,8,0.39607366919517517,0,0.5763760805130005,0.29572829604148865,0.2857142857142857,0.09218900187359942,0.0,28,3,0,0,0
rar_medicine:143,13,0.4879493713378906,0,0.5076004266738892,0.17638853192329407,0.3,0.058508463500723557,0.0,78,1,0,0,0
rar_medicine:145,10,0.3071158230304718,0,0.29511579871177673,0.07396046072244644,0.11764705882352941,0.02397635722455124,0.0,45,0,0,0,0
rar_medicine:147,10,0.16461442410945892,0,0.5183418989181519,0.15362678468227386,0.2857142857142857,0.07422072843641471,0.15951886773109436,45,1,0,0,0
rar_medicine:150,10,0.42156583070755005,0,0.43913671374320984,0.10197421908378601,0.2,0.052422972337833024,0.0,45,0,0,0,0
rar_medicine:153,7,0.09492428600788116,0,0.7065768241882324,0.07842032611370087,0.29411764705882354,0.03287118941143709,0.0,21,1,1,0,0
rar_medicine:154,10,0.5576547384262085,0,0.5353823304176331,0.09349504858255386,0.36363636363636365,0.041149754385048504,0.0,45,2,0,0,0
rar_medicine:155,10,0.3868115544319153,0,0.3886885344982147,0.09858598560094833,0.18181818181818182,0.02712139712139712,0.0,45,0,0,0,0
rar_medicine:158,10,0.5991494059562683,0,0.7606713175773621,0.2513188421726227,0.35714285714285715,0.09260182990575148,0.5712068676948547,45,4,1,2,0
rar_medicine:160,11,0.0,0,0.6340789794921875,0.3546512722969055,0.5714285714285714,0.1901434260926239,0.6041179299354553,55,7,0,3,0
rar_medicine:161,9,0.20156919956207275,0,0.6527137160301208,0.09795520454645157,0.25,0.01866732804232804,0.0,36,2,0,0,0
rar_medicine:162,10,0.7295853495597839,0,0.7217506766319275,0.12971407175064087,0.3333333333333333,0.05005846556189805,0.0,45,6,1,0,0
rar_medicine:164,10,0.0,0,0.8110555410385132,0.21213556826114655,0.6363636363636364,0.09216451123313867,0.8110555410385132,45,4,1,1,1
rar_medicine:169,8,0.3647511601448059,0,0.3825845718383789,0.09556620568037033,0.16666666666666666,0.02918212739641311,0.0,28,0,0,0,0
rar_medicine:170,9,0.6064398288726807,0,0.6607577800750732,0.17114228010177612,0.5,0.06460992710992712,0.0,36,3,0,0,0
rar_medicine:173,10,0.8076701164245605,1,0.8683536052703857,0.12356356531381607,0.3333333333333333,0.032208038874705545,0.8683536052703857,45,3,1,1,1
rar_medicine:175,8,0.4339362680912018,0,0.4534738063812256,0.1598854959011078,0.26666666666666666,0.07695896248942467,0.42067426443099976,28,0,0,0,0
rar_medicine:176,10,0.3150874674320221,0,0.632261335849762,0.13027414679527283,0.21428571428571427,0.028243992753796673,0.0,45,1,0,0,0
rar_medicine:177,11,0.35325929522514343,0,0.36549264192581177,0.059241365641355515,0.3333333333333333,0.020350861259952165,0.22826918959617615,55,0,0,0,0
rar_medicine:182,10,0.5554506778717041,0,0.5569089651107788,0.16770322620868683,0.3333333333333333,0.0602439009791951,0.0,45,2,0,0,0
rar_medicine:184,9,0.24164533615112305,0,0.4334219992160797,0.07079564779996872,0.21428571428571427,0.02012617012617013,0.004108150023967028,36,0,0,0,0
rar_medicine:185,9,0.24365048110485077,0,0.6148927211761475,0.16939452290534973,0.25,0.05972915519484147,0.0,36,1,0,0,0
rar_medicine:191,9,0.49643251299858093,0,0.7955036163330078,0.1715172529220581,0.4444444444444444,0.07702174368841036,0.0,36,1,1,0,0
rar_medicine:193,9,0.20064431428909302,0,0.8070058226585388,0.14601856470108032,0.36363636363636365,0.05734829576741342,0.0,36,4,1,0,0
rar_medicine:198,10,0.02666793204843998,0,0.5372966527938843,0.15407556295394897,0.16666666666666666,0.040511833845167176,0.0,45,2,0,0,0
rar_medicine:202,10,0.6067131757736206,0,0.768120288848877,0.14095436036586761,0.625,0.07259003342336676,0.5456635355949402,45,4,1,1,0
rar_medicine:206,8,0.6334885358810425,0,0.5892009139060974,0.24018727242946625,0.38461538461538464,0.0894107103030146,0.0,28,2,0,0,0
rar_medicine:208,10,0.39546534419059753,0,0.39210736751556396,0.13047347962856293,0.3333333333333333,0.06751814175962784,0.0,45,0,0,0,0
rar_medicine:210,9,0.17669203877449036,0,0.4877099394798279,0.0776715949177742,0.21428571428571427,0.02822273890062848,0.0,36,0,0,0,0
rar_medicine:211,8,0.39250826835632324,0,0.5099190473556519,0.17261238396167755,0.2222222222222222,0.06427912933054462,0.0,28,1,0,0,0
rar_medicine:215,12,0.0,0,0.44279006123542786,0.18705308437347412,0.29411764705882354,0.05447699427832566,0.0,66,0,0,0,0
rar_medicine:216,10,0.2806914746761322,0,0.49512040615081787,0.1655254065990448,0.3076923076923077,0.07254702994899073,0.0,45,0,0,0,0
rar_medicine:220,12,0.3684220314025879,0,0.6793057918548584,0.06640539318323135,0.3,0.015386372639046436,0.0,66,1,0,0,0
rar_medicine:221,10,0.3766883611679077,0,0.41962024569511414,0.0733887180685997,0.25,0.024827024827024823,0.0,45,0,0,0,0
rar_medicine:227,9,0.1281437873840332,0,0.627471923828125,0.10651876777410507,0.25,0.03864087301587302,0.0,36,1,0,0,0
rar_medicine:228,10,0.6589884757995605,0,0.6275125741958618,0.11229948699474335,0.18181818181818182,0.03312739729406396,0.13181404769420624,45,1,0,0,0
rar_medicine:230,9,0.5242576599121094,0,0.5257164239883423,0.16305938363075256,0.23076923076923078,0.052866308074641405,0.0,36,1,0,0,0
rar_medicine:234,9,0.3658532500267029,0,0.4508982300758362,0.25998806953430176,0.1875,0.10357167223137294,0.32280898094177246,36,0,0,0,0
rar_medicine:237,10,0.7196862101554871,0,0.6122233867645264,0.09589943289756775,0.4444444444444444,0.03493420160086827,0.39839521050453186,45,1,0,0,0
rar_medicine:238,10,0.07813484221696854,0,0.6397080421447754,0.12150103598833084,0.4444444444444444,0.06090292967743948,0.0,45,3,0,0,0
rar_medicine:240,9,0.22804276645183563,0,0.5304138660430908,0.11674998700618744,0.125,0.02170604450016215,0.0,36,2,0,0,0
rar_medicine:243,10,0.39806488156318665,0,0.3574407994747162,0.05114201828837395,0.2,0.016921224630202958,0.0,45,0,0,0,0
rar_medicine:244,10,0.08225218206644058,0,0.5599565505981445,0.0971980020403862,0.125,0.02151352278803259,0.003973390907049179,45,1,0,0,0
rar_medicine:245,11,0.5996739864349365,0,0.6060367226600647,0.21784888207912445,0.3,0.10371676006702743,0.0,55,2,0,0,0
rar_medicine:247,11,0.0,0,0.3135046660900116,0.07942128926515579,0.0625,0.014518177431912305,0.0,55,0,0,0,0
rar_medicine:248,9,0.06666389107704163,0,0.43698200583457947,0.1264769285917282,0.13333333333333333,0.03321151147518536,0.0,36,0,0,0,0
rar_medicine:250,10,0.0,0,0.6219167113304138,0.10605079680681229,0.18181818181818182,0.028337060924780222,0.0,45,2,0,0,0
rar_medicine:252,11,0.2612820267677307,0,0.6676018834114075,0.12787023186683655,0.3333333333333333,0.04522019939906232,0.0,55,3,0,0,0
rar_medicine:253,9,0.3096272945404053,0,0.2978905439376831,0.12089444696903229,0.13333333333333333,0.021811314903420167,0.0,36,0,0,0,0
rar_medicine:255,8,0.35988903045654297,0,0.41391751170158386,0.10117149353027344,0.14285714285714285,0.01989420768307323,0.0,28,0,0,0,0
rar_medicine:256,11,0.41132229566574097,0,0.4040394127368927,0.12728555500507355,0.16666666666666666,0.02920551670551671,0.0,55,0,0,0,0
rar_medicine:258,9,0.49716687202453613,0,0.44985654950141907,0.24105702340602875,0.3076923076923077,0.06606046399325553,0.0,36,0,0,0,0
rar_medicine:261,10,0.225894033908844,0,0.5566150546073914,0.07288765162229538,0.25,0.022895807895807894,0.0,45,1,0,0,0
rar_medicine:263,10,0.7534223794937134,0,0.7914422154426575,0.23465603590011597,0.4,0.09546971546971547,0.0,45,6,2,0,0
rar_medicine:264,10,0.25323548913002014,0,0.6009974479675293,0.1455376297235489,0.35714285714285715,0.0643355442146217,0.0,45,1,0,0,0
rar_medicine:265,10,0.16745705902576447,0,0.5504556894302368,0.1341998428106308,0.2222222222222222,0.03701688652669045,0.0,45,2,0,0,0
rar_medicine:266,9,0.0,0,0.40645888447761536,0.14879220724105835,0.21428571428571427,0.04687816722130447,0.0,36,0,0,0,0
rar_medicine:268,10,0.23814629018306732,0,0.405287504196167,0.12677493691444397,0.13333333333333333,0.02992053879308781,0.0,45,0,0,0,0
rar_medicine:269,11,0.6152796149253845,0,0.6012634038925171,0.0969693586230278,0.42857142857142855,0.03406801145191238,0.47539040446281433,55,1,0,0,0
rar_medicine:272,10,0.24198319017887115,0,0.3485727310180664,0.0786229819059372,0.08333333333333333,0.020523075326996893,0.0,45,0,0,0,0
rar_medicine:275,12,0.5296077728271484,0,0.660437822341919,0.12148403376340866,0.2727272727272727,0.031126233314173087,0.0,66,2,0,0,0
rar_medicine:281,10,0.20947220921516418,0,0.4805580675601959,0.12629421055316925,0.25,0.053995826250728206,0.0,45,0,0,0,0
rar_medicine:283,8,0.47568026185035706,0,0.549683690071106,0.09971530735492706,0.125,0.029952498880793883,0.0,28,1,0,0,0
rar_medicine:286,10,0.13550901412963867,0,0.4894019365310669,0.0976858139038086,0.2777777777777778,0.03789631287567304,0.0,45,0,0,0,0
rar_medicine:291,10,0.5189606547355652,0,0.5051099061965942,0.13187339901924133,0.2,0.038222298666055116,0.0,45,2,0,0,0
rar_medicine:293,9,0.4505794644355774,0,0.6259593367576599,0.12417171895503998,0.2857142857142857,0.04912849496182829,0.0,36,2,0,0,0
rar_medicine:296,8,0.3025422692298889,0,0.5681498646736145,0.10968267917633057,0.3076923076923077,0.030630084201512774,0.0,28,1,0,0,0
rar_medicine:297,10,0.3178863227367401,0,0.38800662755966187,0.14407731592655182,0.125,0.027433307433307436,0.0,45,0,0,0,0
rar_medicine:298,7,0.5423551201820374,0,0.5132545232772827,0.27991169691085815,0.29411764705882354,0.1179957723080235,0.0,21,1,0,0,0
rar_medicine:305,10,0.08255554735660553,0,0.6955565810203552,0.08926211297512054,0.4,0.03347442680776014,0.0,45,1,0,0,0
rar_medicine:307,9,0.0858527272939682,0,0.3140440881252289,0.042102351784706116,0.08333333333333333,0.021442187986305632,0.0,36,0,0,0,0
rar_medicine:311,11,0.37902119755744934,0,0.5675666928291321,0.11669746041297913,0.2,0.029211546029727847,0.0,55,3,0,0,0
rar_medicine:316,10,0.709946870803833,0,0.7069807052612305,0.20023566484451294,0.4,0.08812546701091593,0.0,45,5,1,0,0
rar_medicine:319,8,0.7794923186302185,0,0.7607749104499817,0.12364594638347626,0.4,0.059011718722576746,0.0,28,1,1,0,0
rar_medicine:321,10,0.6978926062583923,0,0.6589759588241577,0.1457495093345642,0.3333333333333333,0.053269693269693275,0.03452514484524727,45,1,0,0,0
rar_medicine:325,11,0.07991306483745575,0,0.31086108088493347,0.04502492770552635,0.14285714285714285,0.01500764199680608,0.0,55,0,0,0,0
rar_medicine:326,8,0.865739107131958,1,0.8508232831954956,0.3165139853954315,0.7777777777777778,0.20526759946402803,0.8508232831954956,28,7,1,1,1
rar_medicine:329,11,0.35852211713790894,0,0.33796846866607666,0.08232958614826202,0.1875,0.02452232665854957,0.0,55,0,0,0,0
rar_medicine:331,7,0.30645573139190674,0,0.46667876839637756,0.10445631295442581,0.1875,0.052507413221698926,0.10075678676366806,21,0,0,0,0
rar_medicine:332,7,0.21487563848495483,0,0.5234736204147339,0.11529495567083359,0.2,0.04830275544561259,0.0,21,1,0,0,0
rar_medicine:335,9,0.628646731376648,0,0.6083946228027344,0.2988206148147583,0.26666666666666666,0.1096393796309947,0.5788513422012329,36,3,0,1,0
rar_medicine:336,11,0.4969927966594696,0,0.5918914675712585,0.13887076079845428,0.3333333333333333,0.05741695767096836,0.5918914675712585,55,1,0,1,0
rar_medicine:340,10,0.4817574918270111,0,0.44826704263687134,0.09088458865880966,0.23529411764705882,0.03946873741249386,0.0,45,0,0,0,0
rar_medicine:342,11,0.5324358344078064,0,0.8945225477218628,0.17427606880664825,0.6666666666666666,0.053437723892269355,0.0,55,2,1,0,0
rar_medicine:343,10,0.4586029648780823,0,0.526050329208374,0.19536283612251282,0.3076923076923077,0.08386679263098251,0.0,45,1,0,0,0
rar_medicine:345,8,0.6505138874053955,0,0.6406016945838928,0.16984690725803375,0.5,0.06072728333757745,0.0,28,1,0,0,0
rar_medicine:350,10,0.6136497259140015,0,0.6002445816993713,0.1613992601633072,0.3125,0.086370668566231,0.5039944052696228,45,3,0,1,0
rar_medicine:351,9,0.3237811326980591,0,0.35534021258354187,0.11940442025661469,0.16666666666666666,0.037483141404710034,0.0,36,0,0,0,0
rar_medicine:353,10,0.4460093080997467,0,0.4686833620071411,0.09509432315826416,0.23076923076923078,0.03640157392224779,0.0,45,0,0,0,0
rar_medicine:354,8,0.6040382385253906,0,0.5937398672103882,0.2298431098461151,0.4166666666666667,0.11248899909614195,0.0,28,2,0,0,0
rar_medicine:355,10,0.20165815949440002,0,0.35018014907836914,0.08188968896865845,0.16666666666666666,0.052219651693335915,0.0,45,0,0,0,0
rar_medicine:356,14,0.7962095141410828,0,0.8398711681365967,0.23714123666286469,0.6666666666666666,0.11352749814288274,0.0,91,15,3,0,0
rar_medicine:357,10,0.5792120695114136,0,0.5585376024246216,0.13480177521705627,0.3076923076923077,0.05289012186071009,0.547302782535553,45,2,0,1,0
rar_medicine:358,9,0.08610512316226959,0,0.4418622851371765,0.13082148134708405,0.26666666666666666,0.045275860381639534,0.18835048377513885,36,0,0,0,0
rar_medicine:363,9,0.22915692627429962,0,0.41736945509910583,0.11700941622257233,0.25,0.04606874554994535,0.0,36,0,0,0,0
rar_medicine:364,8,0.24494007229804993,0,0.557023286819458,0.13105960190296173,0.38461538461538464,0.06910158294086866,0.13807643949985504,28,1,0,0,0
rar_medicine:365,10,0.24175617098808289,0,0.6846494078636169,0.16513000428676605,0.4166666666666667,0.08522974970601391,0.0,45,3,0,0,0
rar_medicine:369,11,0.22839033603668213,0,0.5316734910011292,0.07725366204977036,0.2,0.028354319399211042,0.0,55,1,0,0,0
rar_medicine:370,10,0.011367192491889,0,0.39778706431388855,0.06588100641965866,0.2222222222222222,0.020083774250440917,0.0,45,0,0,0,0
rar_medicine:372,12,0.6954087018966675,0,0.679147481918335,0.2552378177642822,0.4444444444444444,0.11296791255101134,0.679147481918335,66,8,0,1,0
rar_medicine:380,15,0.0,0,0.713655412197113,0.24282431602478027,0.36363636363636365,0.09908129022680104,0.0,105,6,1,0,0
rar_medicine:385,10,0.8463218808174133,1,0.8003373146057129,0.39694106578826904,0.5555555555555556,0.17157961405639424,0.0,45,5,2,0,0
rar_medicine:387,12,0.21875178813934326,0,0.3343847990036011,0.06997363269329071,0.23076923076923078,0.033559078663567825,0.0,66,0,0,0,0
rar_medicine:402,10,0.44789591431617737,0,0.5239162445068359,0.12979985773563385,0.2857142857142857,0.05147783044841869,0.0,45,1,0,0,0
rar_medicine:403,12,0.4948318600654602,0,0.5578378438949585,0.12432147562503815,0.2631578947368421,0.047641667315182656,0.0,66,2,0,0,0
rar_medicine:407,12,0.32292091846466064,0,0.34831708669662476,0.06382042914628983,0.21428571428571427,0.01995471848413025,0.0,66,0,0,0,0
rar_medicine:409,12,0.3412724435329437,0,0.35661792755126953,0.0592985562980175,0.15384615384615385,0.023046957915378967,0.35661792755126953,66,0,0,0,0
rar_medicine:410,10,0.573747992515564,0,0.5117916464805603,0.0862918570637703,0.5,0.03697395197395197,0.28282201290130615,45,1,0,0,0
rar_medicine:411,8,0.41574203968048096,0,0.7133657932281494,0.23480558395385742,0.3333333333333333,0.08900865999080285,0.40290865302085876,28,1,1,0,0
rar_medicine:412,11,0.0,0,0.340548038482666,0.08279784023761749,0.23076923076923078,0.04362903733224588,0.0,55,0,0,0,0
rar_medicine:415,10,0.5473440885543823,0,0.7386213541030884,0.19162990152835846,0.6,0.12048229863245342,0.033939287066459656,45,6,1,0,0
rar_medicine:416,13,0.16183722019195557,0,0.44400978088378906,0.13427406549453735,0.17647058823529413,0.04384834638912991,0.2836405336856842,78,0,0,0,0
rar_medicine:419,11,0.4269663691520691,0,0.5754402279853821,0.12463156878948212,0.3076923076923077,0.049591095179330476,0.0,55,1,0,0,0
rar_medicine:420,10,0.7374188303947449,0,0.7083817720413208,0.14591750502586365,0.4375,0.05514878059029357,0.0,45,1,1,0,0
rar_medicine:424,9,0.3302479088306427,0,0.47230541706085205,0.11173561215400696,0.23076923076923078,0.036855566818802116,0.0,36,0,0,0,0
rar_medicine:428,10,0.20008543133735657,0,0.39454156160354614,0.14509449899196625,0.22727272727272727,0.03301639228143468,0.0,45,0,0,0,0
rar_medicine:432,10,0.30786827206611633,0,0.4988592267036438,0.19129689037799835,0.3,0.07524870735655048,0.0,45,0,0,0,0
rar_medicine:434,12,0.45629334449768066,0,0.4577485918998718,0.04282202571630478,0.13333333333333333,0.011128171364239475,0.0,66,0,0,0,0
rar_medicine:436,12,0.29597383737564087,0,0.3695518970489502,0.08855034410953522,0.21428571428571427,0.03286718829768794,0.0,66,0,0,0,0
rar_medicine:437,10,0.3832498788833618,0,0.6957139372825623,0.13459904491901398,0.42857142857142855,0.05826913826913828,0.0,45,1,0,0,0
rar_medicine:438,12,0.5144055485725403,0,0.7008926272392273,0.12332902103662491,0.2727272727272727,0.037359610086882815,0.0,66,1,1,0,0
rar_medicine:439,10,0.26364028453826904,0,0.6484891176223755,0.1344255954027176,0.25,0.05586792836792836,0.0,45,1,0,0,0
rar_medicine:442,8,0.07048987597227097,0,0.701995313167572,0.2412591278553009,0.42857142857142855,0.10675548544163095,0.3934609889984131,28,5,1,0,0
rar_medicine:444,10,0.036608725786209106,0,0.41941019892692566,0.14634369313716888,0.2,0.05022265679128424,0.0,45,0,0,0,0
rar_medicine:447,9,0.09523773193359375,0,0.7190709114074707,0.12256184220314026,0.3333333333333333,0.039449670699670696,0.19341722130775452,36,1,1,0,0
rar_medicine:449,9,0.38633695244789124,0,0.6258002519607544,0.16363225877285004,0.25,0.05265275982187747,0.0,36,2,0,0,0
rar_medicine:451,7,0.4147665798664093,0,0.5497642755508423,0.17708563804626465,0.25,0.07789001565538496,0.0,21,1,0,0,0
rar_medicine:452,13,0.0,0,0.37725430727005005,0.059304941445589066,0.2857142857142857,0.017909621459573827,0.0,78,0,0,0,0
rar_medicine:454,10,0.7278043031692505,0,0.7130498886108398,0.1344974935054779,0.35714285714285715,0.05657817032946033,0.0,45,1,1,0,0
rar_medicine:455,9,0.5344991683959961,0,0.5608008503913879,0.2292780876159668,0.2,0.08239586172055212,0.0,36,2,0,0,0
rar_medicine:456,9,0.23945508897304535,0,0.29842424392700195,0.06921220570802689,0.16666666666666666,0.02412460451676138,0.09188245236873627,36,0,0,0,0
rar_medicine:460,7,0.6301695108413696,0,0.6168783903121948,0.17322759330272675,0.38461538461538464,0.09476395146452642,0.0,21,1,0,0,0
rar_medicine:466,9,0.42574557662010193,0,0.5973122715950012,0.1962072253227234,0.3333333333333333,0.07982643491221923,0.0,36,1,0,0,0
rar_medicine:467,9,0.3136231005191803,0,0.40478572249412537,0.1823858618736267,0.17647058823529413,0.0668248331141778,0.0,36,0,0,0,0
rar_medicine:470,9,0.0,0,0.5564196109771729,0.20029471814632416,0.2857142857142857,0.05845361221070714,0.0,36,3,0,0,0
rar_medicine:477,10,0.5463496446609497,0,0.5415635108947754,0.12042831629514694,0.3333333333333333,0.05362859362859363,0.0,45,1,0,0,0
rar_medicine:480,11,0.6663858890533447,0,0.6145209074020386,0.09344886243343353,0.3333333333333333,0.024022038567493114,0.0,55,1,0,0,0
rar_medicine:485,10,0.567788302898407,0,0.6165693402290344,0.15085555613040924,0.36363636363636365,0.055751933251933235,0.0,45,2,0,0,0
rar_medicine:489,14,0.0,0,0.3320702016353607,0.08860309422016144,0.16666666666666666,0.02820644216087009,0.0,91,0,0,0,0
rar_medicine:491,10,0.05720113590359688,0,0.45298096537590027,0.14379629492759705,0.23529411764705882,0.03835002763896289,0.0,45,0,0,0,0
